,datasize,encoder,trial,iou,max_f1
0,64,supervised,t1,0.41005268692970276,0.5861233792453677
1,64,supervised,t2,0.404143750667572,0.5871049300958749
2,64,supervised,t3,0.41084402799606323,0.5904278483129655
3,64,swav-imagenet,t1,0.41420602798461914,0.5916604988382033
4,64,swav-imagenet,t2,0.4052235186100006,0.5903685431250616
5,64,swav-imagenet,t3,0.4048531949520111,0.592552788090531
6,64,swav-c1,t1,0.41595539450645447,0.5969897147685236
7,64,swav-c1,t2,0.41182246804237366,0.5944175295255371
8,64,swav-c1,t3,0.4141218066215515,0.5972009444285232
9,128,supervised,t1,0.41238632798194885,0.5976325857736312
10,128,supervised,t2,0.4158010482788086,0.5969773960082738
11,128,supervised,t3,0.4074026942253113,0.5958475039800326
12,128,swav-imagenet,t1,0.4276660680770874,0.6040179925384314
13,128,swav-imagenet,t2,0.42456337809562683,0.6050447479766627
14,128,swav-imagenet,t3,0.4245239496231079,0.6051202819472032
15,128,swav-c1,t1,0.4276772141456604,0.6039101116521078
16,128,swav-c1,t2,0.4266563653945923,0.6053607264936498
17,128,swav-c1,t3,0.42728397250175476,0.6065574368359284
18,256,supervised,t1,0.42908674478530884,0.6060222410550032
19,256,supervised,t2,0.42285433411598206,0.6021696782865754
20,256,supervised,t3,0.42934751510620117,0.6074575506123957
21,256,swav-imagenet,t1,0.43302014470100403,0.610734040245034
22,256,swav-imagenet,t2,0.43658876419067383,0.610239847173659
23,256,swav-imagenet,t3,0.4292246401309967,0.6092752002060075
24,256,swav-c1,t1,0.4357701241970062,0.6116086029160188
25,256,swav-c1,t2,0.43306636810302734,0.6100580667513569
26,256,swav-c1,t3,0.4292123019695282,0.6105414622814357
27,512,supervised,t1,0.4348352253437042,0.6153177031632163
28,512,supervised,t2,0.4381214678287506,0.6158034922693322
29,512,supervised,t3,0.43627437949180603,0.6139913240461075
30,512,swav-imagenet,t1,0.43732625246047974,0.6174196186604908
31,512,swav-imagenet,t2,0.44416555762290955,0.6200850898456594
32,512,swav-imagenet,t3,0.4421374797821045,0.6193348366848773
33,512,swav-c1,t1,0.4393211901187897,0.619893518019079
34,512,swav-c1,t2,0.4400205612182617,0.6189784973334005
35,512,swav-c1,t3,0.4423845112323761,0.6194050904791225
36,1024,supervised,t1,0.45058882236480713,0.6261427720199736
37,1024,supervised,t2,0.44783151149749756,0.6266732720781083
38,1024,supervised,t3,0.4515153765678406,0.6256300817024368
39,1024,swav-imagenet,t1,0.45147672295570374,0.626953509832308
40,1024,swav-imagenet,t2,0.4530951976776123,0.6282069737593291
41,1024,swav-imagenet,t3,0.45468178391456604,0.628339188738478
42,1024,swav-c1,t1,0.4509502053260803,0.6277555813471021
43,1024,swav-c1,t2,0.4497472643852234,0.6267245751843231
44,1024,swav-c1,t3,0.4511582851409912,0.6292971887133884
