,datasize,encoder,trial,iou,max_f1
0,64,swav-c2,t1,0.3768431544303894,0.5674064234848204
1,64,swav-c2,t2,0.3807867169380188,0.5730488207759666
2,64,swav-c2,t3,0.38298875093460083,0.5700989721496807
3,128,swav-c2,t1,0.4008171260356903,0.5809036039353848
4,128,swav-c2,t2,0.4014947712421417,0.5822569418965909
5,128,swav-c2,t3,0.39953547716140747,0.581900586466743
6,256,swav-c2,t1,0.4208134710788727,0.5960850502287016
7,256,swav-c2,t2,0.41080746054649353,0.596147066537587
8,256,swav-c2,t3,0.41516903042793274,0.597306856176943
9,512,swav-c2,t1,0.4278942346572876,0.6087050711062287
10,512,swav-c2,t2,0.4339457154273987,0.6103587153584735
11,512,swav-c2,t3,0.4293133616447449,0.6086732783115157
12,1024,swav-c2,t1,0.44436052441596985,0.6187429503654099
13,1024,swav-c2,t2,0.4439028799533844,0.6198442995804666
14,1024,swav-c2,t3,0.4468398988246918,0.6212604780191523
