,datasize,encoder,trial,iou,max_f1
0,64,swav-s4,t1,0.4347880184650421,0.6240366508030828
1,64,swav-s4,t2,0.2992040514945984,0.46470939314450765
2,64,swav-s4,t3,0.46474984288215637,0.6363233673535535
3,128,swav-s4,t1,0.5312017798423767,0.6940147560901113
4,128,swav-s4,t2,0.5135863423347473,0.6803428492905974
5,128,swav-s4,t3,0.5131553411483765,0.6804256891888624
6,256,swav-s4,t1,0.5899962782859802,0.7425156022511515
7,256,swav-s4,t2,0.586584746837616,0.7437235293717751
8,256,swav-s4,t3,0.5712467432022095,0.730261899557353
9,512,swav-s4,t1,0.6302415728569031,0.7737290195412517
10,512,swav-s4,t2,0.6272029280662537,0.7773146855513533
11,512,swav-s4,t3,0.641372799873352,0.7819238683642662
12,1024,swav-s4,t1,0.6917482614517212,0.81834827312146
13,1024,swav-s4,t2,0.7012826204299927,0.8250278410402014
14,1024,swav-s4,t3,0.6921259760856628,0.8207380109122236
